                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.637,                 2.2446,                 1.6653,                0.49388,                0.57248,                0.56391,                 0.2631,                 1.7458,                 3.4924,                 1.6558,             0.00055194,             0.00055194,             0.00055194
                      2,                 1.6372,                 1.4582,                  1.637,                0.69771,                0.71799,                0.74851,                0.40012,                 1.5641,                 1.6001,                    1.5,             0.00099795,             0.00099795,             0.00099795
                      3,                 1.5606,                 1.3073,                 1.5736,                0.63004,                0.71699,                0.75137,                0.41301,                 1.5077,                 1.4786,                 1.4617,              0.0013339,              0.0013339,              0.0013339
                      4,                 1.5232,                 1.2292,                 1.5444,                0.71024,                0.77173,                0.84696,                0.50449,                 1.4058,                 1.1692,                 1.3933,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.4198,                  1.093,                 1.4628,                0.84442,                0.87787,                0.93006,                0.61897,                  1.209,                0.84371,                 1.2405,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.3534,                0.97864,                 1.4058,                0.90444,                0.85996,                0.94047,                0.62626,                 1.1941,                0.79406,                 1.2299,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.2656,                 0.9062,                 1.3429,                0.90266,                0.87525,                 0.9379,                0.63608,                 1.2062,                0.76956,                 1.2159,              0.0006768,              0.0006768,              0.0006768
                      8,                  1.203,                0.82498,                 1.3047,                0.91338,                 0.8933,                0.94732,                0.65425,                 1.1276,                0.72966,                 1.1858,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.1352,                0.74696,                 1.2514,                0.91042,                0.92521,                0.94717,                0.66573,                 1.1062,                0.68361,                 1.1708,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.0515,                 0.6741,                 1.1983,                0.92191,                0.93707,                0.96376,                0.67905,                 1.0702,                0.64143,                 1.1472,              0.0001817,              0.0001817,              0.0001817
